Geneid	Chr	Start	End	Strand	Length
ENSG00000230415	chr1	1210603	1210679	+	513
ENSG00000162572	chr1	1215816	1216990	+	4025
ENSG00000131584	chr1	1227756	1229088	-	8809
ENSG00000169972	chr1	1243947	1244100	+	2489
ENSG00000127054	chr1	1246965	1247304	-	8220
ENSG00000240731	chr1	1252961	1253279	-	386
ENSG00000224051	chr1	1260136	1260482	+	2556
ENSG00000169962	chr1	1266694	1266916	+	3433
ENSG00000107404	chr1	1270656	1271895	-	3486
ENSG00000162576	chr1	1288069	1289326	-	3371
ENSG00000175756	chr1	1309110	1309282	-	1669
ENSG00000223663	chr1	1314046	1314412	+	367
ENSG00000221978	chr1	1321091	1322962	-	6835
ENSG00000224870	chr1	1334902	1337426	+	2525
ENSG00000242485	chr1	1337288	1337981	-	2788
ENSG00000264293	chr1	1340841	1341132	-	292
ENSG00000272455	chr1	1344476	1345998	+	1523
ENSG00000235098	chr1	1353800	1354929	-	2644
ENSG00000225905	chr1	1355625	1355944	+	543
ENSG00000205116	chr1	1361508	1361765	+	492
ENSG00000225285	chr1	1365919	1366334	-	851
ENSG00000179403	chr1	1370241	1370526	+	5065
ENSG00000215915	chr1	1385069	1386138	+	3976
ENSG00000160072	chr1	1407143	1407469	+	7748
ENSG00000197785	chr1	1447531	1447853	+	3069
ENSG00000205090	chr1	1470554	1470887	-	752
ENSG00000160075	chr1	1477053	1477547	-	5428
ENSG00000215791	chr1	1497726	1498935	-	2178
ENSG00000215014	chr1	1510355	1511373	+	1019
ENSG00000236684	chr1	1515136	1515312	+	243
ENSG00000228594	chr1	1533392	1535476	-	2085
ENSG00000272106	chr1	1549138	1551175	-	2038
ENSG00000197530	chr1	1550795	1551013	+	8767
ENSG00000189409	chr1	1567474	1567753	+	2273
ENSG00000248333	chr1	1570603	1571218	-	3130
ENSG00000272004	chr1	1590786	1590913	+	400
ENSG00000189339	chr1	1592939	1597458	-	7790
ENSG00000269737	chr1	1603429	1604850	+	1422
ENSG00000269227	chr1	1604714	1604818	+	502
ENSG00000215914	chr1	1631369	1631511	+	1124
ENSG00000008128	chr1	1634169	1634438	-	4707
ENSG00000268575	chr1	1634175	1634438	-	5079
ENSG00000227775	chr1	1655951	1656202	+	2759
ENSG00000215790	chr1	1656277	1656861	-	2504
ENSG00000008130	chr1	1682671	1684499	-	5637
ENSG00000078369	chr1	1716729	1718492	-	6351
ENSG00000231050	chr1	1822910	1823290	+	906
ENSG00000169885	chr1	1846266	1848335	+	2321
ENSG00000178821	chr1	1849029	1849601	-	1594
ENSG00000142609	chr1	1853396	1853827	-	10416
ENSG00000233542	chr1	1944652	1946439	-	1954
ENSG00000187730	chr1	1950780	1950930	+	1913
ENSG00000226969	chr1	1980642	1980907	-	538
ENSG00000067606	chr1	1981909	1982140	+	7636
ENSG00000271806	chr1	2072523	2076718	-	4196
ENSG00000182873	chr1	2113233	2115828	-	2596
ENSG00000162585	chr1	2115903	2116952	-	10712
ENSG00000269554	chr1	2121237	2123179	+	1943
ENSG00000203301	chr1	2143360	2145620	-	2261
ENSG00000243558	chr1	2143610	2143897	-	314
ENSG00000234396	chr1	2143962	2144083	+	326
ENSG00000157933	chr1	2160134	2161174	+	6080
ENSG00000116151	chr1	2252692	2253018	-	8403
ENSG00000272161	chr1	2257640	2258132	-	493
ENSG00000269753	chr1	2258581	2259042	+	462
ENSG00000269896	chr1	2281853	2284259	-	2407
ENSG00000238240	chr1	2283083	2283296	-	214
ENSG00000272420	chr1	2294500	2295067	-	568
ENSG00000271921	chr1	2306292	2306792	-	501
ENSG00000271847	chr1	2309056	2309799	-	744
ENSG00000178642	chr1	2316811	2316993	+	3110
ENSG00000157916	chr1	2323267	2323397	+	5638
ENSG00000157911	chr1	2336236	2337273	-	2961
ENSG00000149527	chr1	2357419	2357476	+	10781
ENSG00000224387	chr1	2423739	2424035	-	455
ENSG00000229393	chr1	2424876	2425292	-	514
ENSG00000157881	chr1	2439972	2440499	-	5079
ENSG00000197921	chr1	2460184	2461188	-	1306
ENSG00000272449	chr1	2477904	2478899	+	996
ENSG00000238164	chr1	2481359	2481713	-	6137
ENSG00000157873	chr1	2487078	2487106	+	6219
ENSG00000225931	chr1	2497849	2498044	+	1297
ENSG00000228037	chr1	2512999	2513089	+	626
ENSG00000157870	chr1	2517930	2518030	+	3346
ENSG00000142606	chr1	2522078	2522528	-	3896
ENSG00000237058	chr1	2564007	2564114	+	373
ENSG00000215912	chr1	2567415	2571151	-	5900
ENSG00000233234	chr1	2728415	2728563	-	607
ENSG00000231630	chr1	2730997	2731253	-	429
ENSG00000169717	chr1	2938046	2939465	+	1420
ENSG00000177133	chr1	2976179	2980619	-	5600
ENSG00000256761	chr1	2978523	2978756	-	435
ENSG00000142611	chr1	2985732	2985860	+	9770
ENSG00000226286	chr1	3049491	3049822	-	469
ENSG00000272235	chr1	3223200	3226660	-	3461
ENSG00000130762	chr1	3370990	3371375	+	5563
ENSG00000272088	chr1	3403810	3404191	+	382
ENSG00000162591	chr1	3406484	3407153	-	7039
ENSG00000207776	chr1	3477259	3477354	-	96
ENSG00000238260	chr1	3539754	3540120	-	622
ENSG00000158109	chr1	3541566	3541837	+	2414
ENSG00000116213	chr1	3547331	3548221	-	7604
ENSG00000078900	chr1	3569084	3569205	+	6763
ENSG00000227589	chr1	3575502	3575994	-	754
ENSG00000235131	chr1	3628764	3629002	-	351
ENSG00000227372	chr1	3652548	3656951	-	6597
ENSG00000162592	chr1	3668962	3669363	+	2318
ENSG00000235169	chr1	3689352	3689745	+	954
ENSG00000130764	chr1	3696784	3697900	-	2854
ENSG00000266075	chr1	3699379	3699673	+	295
ENSG00000272153	chr1	3701572	3702102	+	531
ENSG00000116198	chr1	3728645	3732081	-	7876
ENSG00000169598	chr1	3773845	3774281	+	3856
ENSG00000264428	chr1	3800628	3800697	+	70
ENSG00000198912	chr1	3805689	3806637	-	4388
ENSG00000236423	chr1	3816936	3817195	+	4064
ENSG00000233304	chr1	4000673	4000758	+	3571
ENSG00000226374	chr1	4007209	4007388	-	937
ENSG00000229280	chr1	4235588	4235959	-	372
ENSG00000235054	chr1	4472111	4472692	+	2077
ENSG00000227169	chr1	4611795	4612109	-	356
ENSG00000232596	chr1	4631608	4631689	+	682
ENSG00000196581	chr1	4714792	4715514	+	12405
ENSG00000231510	chr1	5146519	5146629	-	449
ENSG00000260972	chr1	5553038	5554734	+	1697
ENSG00000264341	chr1	5624131	5624203	+	73
ENSG00000236948	chr1	5647428	5647635	-	363
ENSG00000216045	chr1	5875931	5876019	-	89
ENSG00000264101	chr1	5922732	5922801	-	70
ENSG00000131697	chr1	5922871	5926518	-	13167
ENSG00000266687	chr1	5953899	5953984	-	86
ENSG00000069424	chr1	6051526	6051616	+	9253
ENSG00000268332	chr1	6100630	6100699	-	81
ENSG00000116254	chr1	6161853	6165487	-	9890
ENSG00000116251	chr1	6241329	6241546	-	4900
ENSG00000226944	chr1	6264900	6265042	-	378
ENSG00000158286	chr1	6265535	6266161	+	6585
ENSG00000116237	chr1	6281253	6285322	-	4910
ENSG00000225077	chr1	6296300	6296396	+	1685
ENSG00000173673	chr1	6304252	6304301	+	697
ENSG00000158292	chr1	6307406	6310063	-	4082
ENSG00000097021	chr1	6324329	6324755	-	4892
ENSG00000271746	chr1	6453615	6454451	+	837
ENSG00000069812	chr1	6472478	6473342	-	5407
ENSG00000187017	chr1	6484848	6485309	+	4109
ENSG00000265392	chr1	6489894	6489956	-	63
ENSG00000231868	chr1	6503094	6503229	-	351
ENSG00000215788	chr1	6521211	6521822	-	3918
ENSG00000171680	chr1	6526152	6527632	-	6954
ENSG00000162408	chr1	6581407	6586063	-	7293
ENSG00000253022	chr1	6600914	6601024	+	111
ENSG00000229519	chr1	6607965	6608193	+	401
ENSG00000173662	chr1	6615241	6615624	+	2892
ENSG00000204859	chr1	6640061	6640196	+	4503
ENSG00000162413	chr1	6650784	6655617	-	6670
ENSG00000116273	chr1	6673745	6674165	+	3681
ENSG00000041988	chr1	6684926	6685014	+	4072
ENSG00000007923	chr1	6694228	6695760	-	5147
ENSG00000228750	chr1	6784697	6784910	+	2065
ENSG00000239166	chr1	6812779	6812881	+	103
ENSG00000237436	chr1	6843952	6844105	-	415
ENSG00000171735	chr1	6845384	6845635	+	10033
ENSG00000227950	chr1	6894393	6894678	-	286
ENSG00000237365	chr1	7068436	7068755	-	349
ENSG00000207056	chr1	7279420	7279584	+	165
ENSG00000237402	chr1	7429003	7429177	+	365
ENSG00000237728	chr1	7442548	7442783	-	743
ENSG00000225126	chr1	7501156	7501241	-	361
ENSG00000270171	chr1	7753184	7754904	-	1721
ENSG00000270035	chr1	7758363	7758932	-	570
ENSG00000269978	chr1	7760764	7761030	-	267
ENSG00000049245	chr1	7831329	7831445	+	2760
ENSG00000269925	chr1	7836443	7836835	+	393
ENSG00000049246	chr1	7844380	7844436	+	8059
ENSG00000236266	chr1	7870302	7870776	-	830
ENSG00000049247	chr1	7903143	7904010	-	1783
ENSG00000049249	chr1	7979907	7980983	-	2284
ENSG00000270330	chr1	8002432	8002786	+	355
ENSG00000116288	chr1	8014351	8014383	+	2397
ENSG00000200344	chr1	8042941	8043043	-	103
ENSG00000116285	chr1	8064464	8064618	-	4186
ENSG00000238290	chr1	8086798	8087481	+	2044
ENSG00000232848	chr1	8117305	8118001	-	800
ENSG00000229305	chr1	8249884	8250391	+	1075
ENSG00000200975	chr1	8266494	8266657	-	164
ENSG00000227634	chr1	8268732	8268933	+	497
ENSG00000233645	chr1	8278250	8278593	-	477
ENSG00000265414	chr1	8335184	8335438	-	255
ENSG00000251977	chr1	8352217	8352323	-	107
ENSG00000162426	chr1	8377886	8378246	+	2888
ENSG00000252254	chr1	8388127	8388239	+	113
ENSG00000142599	chr1	8412457	8415180	-	11503
ENSG00000232912	chr1	8484705	8484761	+	702
ENSG00000221083	chr1	8571854	8571978	-	125
ENSG00000270282	chr1	8572712	8573080	+	369
ENSG00000234619	chr1	8810489	8811146	+	658
ENSG00000224315	chr1	8846270	8846972	-	703
ENSG00000222511	chr1	8856633	8856731	-	99
ENSG00000226545	chr1	8858534	8858750	+	415
ENSG00000228423	chr1	8865919	8865998	-	353
ENSG00000229716	chr1	8891066	8891434	+	369
ENSG00000074800	chr1	8921061	8921488	-	3958
ENSG00000236269	chr1	8935847	8936090	-	744
ENSG00000230679	chr1	8938894	8939019	+	456
ENSG00000201725	chr1	8943486	8943592	-	107
ENSG00000238249	chr1	8953468	8954210	+	743
ENSG00000232208	chr1	8967452	8967803	-	352
ENSG00000232663	chr1	8969801	8969963	+	163
ENSG00000131686	chr1	9005926	9006024	+	2662
ENSG00000265141	chr1	9039637	9039933	-	297
ENSG00000197241	chr1	9063359	9063577	-	1539
ENSG00000142583	chr1	9095166	9097848	-	6854
ENSG00000252404	chr1	9142755	9142938	+	184
ENSG00000180758	chr1	9160364	9164693	-	5372
ENSG00000207865	chr1	9211727	9211836	-	110
ENSG00000228526	chr1	9242066	9242354	-	450
ENSG00000234546	chr1	9242263	9242375	+	985
ENSG00000049239	chr1	9294834	9295125	+	9321
ENSG00000252841	chr1	9338450	9338592	+	143
ENSG00000171621	chr1	9352939	9353130	+	3403
ENSG00000252956	chr1	9497728	9497837	-	110
ENSG00000235263	chr1	9561151	9561607	-	708
ENSG00000171612	chr1	9599541	9599806	+	3854
ENSG00000231181	chr1	9636485	9637043	+	559
ENSG00000188807	chr1	9648932	9649101	+	7018
ENSG00000171608	chr1	9711790	9711860	+	6593
ENSG00000179840	chr1	9712668	9714101	-	1823
ENSG00000233268	chr1	9720886	9720976	-	421
ENSG00000231789	chr1	9732484	9732777	-	939
ENSG00000171603	chr1	9789084	9790763	-	5559
ENSG00000271264	chr1	9840880	9840958	+	246
ENSG00000178585	chr1	9908334	9910834	-	3343
ENSG00000223989	chr1	9908376	9908524	+	424
ENSG00000162441	chr1	9982173	9982416	-	2792
ENSG00000228150	chr1	10002981	10003083	+	440
ENSG00000173614	chr1	10003486	10003573	+	4610
ENSG00000202415	chr1	10007376	10007694	+	319
ENSG00000265521	chr1	10027439	10027516	+	78
ENSG00000241326	chr1	10043199	10043348	+	436
ENSG00000162444	chr1	10057264	10057389	+	861
ENSG00000225786	chr1	10078085	10078135	-	237
ENSG00000130939	chr1	10092890	10093752	+	9140
ENSG00000224340	chr1	10114503	10114839	-	337
ENSG00000233623	chr1	10118729	10119001	+	680
ENSG00000201746	chr1	10223326	10223432	+	107
ENSG00000054523	chr1	10270863	10270936	+	17693
ENSG00000264881	chr1	10287776	10287861	+	86
ENSG00000199562	chr1	10359024	10359130	+	107
ENSG00000264501	chr1	10366523	10366813	+	291
ENSG00000265945	chr1	10450059	10450353	+	295
ENSG00000142657	chr1	10458649	10458808	+	3171
ENSG00000271989	chr1	10489938	10490734	-	797
ENSG00000175279	chr1	10490159	10490625	+	2857
ENSG00000251503	chr1	10490159	10490625	+	1790
ENSG00000241563	chr1	10509776	10510379	+	1130
ENSG00000160049	chr1	10516579	10521759	-	6622
ENSG00000203469	chr1	10518612	10518829	+	467
ENSG00000142655	chr1	10532345	10532637	+	2995
ENSG00000243267	chr1	10676893	10677170	+	278
ENSG00000130940	chr1	10696661	10700116	-	11336
ENSG00000272078	chr1	10699298	10700134	+	7923
ENSG00000225158	chr1	10955818	10956055	+	238
ENSG00000175262	chr1	11006528	11006798	-	3573
ENSG00000215785	chr1	11051035	11051148	-	494
ENSG00000264181	chr1	11058233	11058320	-	88
ENSG00000207213	chr1	11059919	11060002	-	84
ENSG00000120948	chr1	11072414	11072485	+	4622
ENSG00000009724	chr1	11086580	11087705	-	4251
ENSG00000271895	chr1	11089716	11090585	+	870
ENSG00000116649	chr1	11114641	11115261	-	1898
ENSG00000171824	chr1	11126675	11126805	-	6003
ENSG00000226849	chr1	11128528	11128770	+	2682
ENSG00000230337	chr1	11159732	11159967	+	536
ENSG00000198793	chr1	11166592	11167557	-	12119
ENSG00000225602	chr1	11203955	11204044	+	763
ENSG00000253086	chr1	11212407	11212509	+	103
ENSG00000271794	chr1	11229564	11229670	-	107
ENSG00000171819	chr1	11249398	11250012	+	2238
ENSG00000207451	chr1	11286311	11286417	+	107
ENSG00000238173	chr1	11293020	11293169	+	150
ENSG00000120942	chr1	11333263	11334117	+	5082
ENSG00000238199	chr1	11338673	11338925	-	437
ENSG00000224338	chr1	11485314	11485878	-	565
ENSG00000204624	chr1	11539223	11539429	+	6146
ENSG00000235643	chr1	11669588	11670170	+	1285
ENSG00000116661	chr1	11708424	11708885	-	2333
ENSG00000132879	chr1	11714432	11714638	+	3527
ENSG00000116663	chr1	11724181	11724312	+	1811
ENSG00000116670	chr1	11734537	11734873	-	3324
ENSG00000162490	chr1	11751786	11751910	+	7346
ENSG00000177674	chr1	11796141	11796292	+	2433
ENSG00000215910	chr1	11821844	11822331	+	6505
ENSG00000177553	chr1	11837134	11838341	-	1868
ENSG00000177000	chr1	11845780	11850955	-	10214
ENSG00000011021	chr1	11866207	11866406	+	6884
ENSG00000242349	chr1	11901074	11901264	+	1427
ENSG00000175206	chr1	11905766	11906071	-	1120
ENSG00000120937	chr1	11917521	11917728	-	694
ENSG00000224904	chr1	11937827	11940463	+	2637
ENSG00000199347	chr1	11968209	11968328	+	120
ENSG00000201801	chr1	11969865	11969984	-	120
ENSG00000116685	chr1	11979648	11980389	-	3281
ENSG00000083444	chr1	11994262	11994380	+	5320
ENSG00000116688	chr1	12040238	12040541	+	4973
ENSG00000270914	chr1	12077273	12077365	-	93
ENSG00000116691	chr1	12079523	12079609	+	2821
ENSG00000202461	chr1	12084069	12084181	-	113
ENSG00000243539	chr1	12096799	12097071	-	273
ENSG00000120949	chr1	12123434	12123718	+	3738
ENSG00000201135	chr1	12137938	12138041	-	104
ENSG00000227875	chr1	12140350	12140604	-	255
ENSG00000028137	chr1	12227060	12227226	+	3766
ENSG00000263676	chr1	12251770	12251830	+	61
ENSG00000225196	chr1	12280851	12281166	-	316
ENSG00000252969	chr1	12281205	12281328	-	124
ENSG00000048707	chr1	12290124	12290177	+	20346
ENSG00000239149	chr1	12567300	12567451	+	152
ENSG00000229484	chr1	12587766	12587834	+	438
ENSG00000162496	chr1	12627939	12628453	-	3037
ENSG00000221340	chr1	12630000	12630100	-	101
ENSG00000272482	chr1	12678906	12679250	-	345
ENSG00000204518	chr1	12704566	12704733	+	1575
ENSG00000226166	chr1	12752925	12753036	+	112
ENSG00000188984	chr1	12776118	12776347	+	4049
ENSG00000238771	chr1	12799693	12799796	+	104
ENSG00000157330	chr1	12806163	12806489	+	4333
ENSG00000116726	chr1	12834984	12835297	+	1786
ENSG00000116721	chr1	12851546	12851623	+	2439
ENSG00000228338	chr1	12882549	12882802	-	378
ENSG00000204513	chr1	12884468	12885361	-	1839
ENSG00000231103	chr1	12897978	12898057	-	1417
ENSG00000179172	chr1	12907261	12908323	-	1108
ENSG00000120952	chr1	12916941	12917002	+	1642
ENSG00000243073	chr1	12939045	12939926	-	1828
ENSG00000187545	chr1	12952727	12953305	-	1525
ENSG00000204510	chr1	12976450	12976507	+	1844
ENSG00000207434	chr1	12982374	12982480	+	107
ENSG00000234064	chr1	12985990	12986569	+	1139
ENSG00000232423	chr1	12998181	12999066	-	3838
ENSG00000250894	chr1	13012966	13013473	-	1371
ENSG00000204508	chr1	13035543	13035835	+	1446
ENSG00000239810	chr1	13052394	13052998	-	605
ENSG00000270601	chr1	13108842	13109399	-	1426
ENSG00000250113	chr1	13123246	13123804	-	1422
ENSG00000204505	chr1	13140456	13140742	+	1428
ENSG00000233336	chr1	13146777	13146900	+	384
ENSG00000229978	chr1	13162645	13163233	-	1452
ENSG00000236179	chr1	13171871	13172449	-	891
ENSG00000179412	chr1	13182960	13184053	-	1156
ENSG00000224199	chr1	13196270	13196556	+	1452
ENSG00000229571	chr1	13216356	13217249	-	1476
ENSG00000204503	chr1	13328196	13329406	-	2104
ENSG00000233394	chr1	13351482	13351768	+	1422
ENSG00000204502	chr1	13359819	13359896	+	1855
ENSG00000231219	chr1	13379149	13379721	-	1068
ENSG00000207511	chr1	13384735	13384841	-	107
ENSG00000182330	chr1	13386646	13387543	-	1844
ENSG00000237700	chr1	13411551	13411837	+	1425
ENSG00000204501	chr1	13421176	13421253	+	1863
ENSG00000228229	chr1	13429634	13429757	+	384
ENSG00000204495	chr1	13447414	13448608	-	2164
ENSG00000204491	chr1	13474689	13475262	-	1440
ENSG00000204488	chr1	13495254	13495570	+	1587
ENSG00000204486	chr1	13516066	13516160	+	1597
ENSG00000204485	chr1	13607431	13608328	-	1844
ENSG00000224581	chr1	13632348	13632634	+	1425
ENSG00000157358	chr1	13641973	13642050	+	1863
ENSG00000204481	chr1	13668269	13669463	-	2523
ENSG00000204480	chr1	13694889	13696098	-	2123
ENSG00000204479	chr1	13716092	13716404	+	1578
ENSG00000204478	chr1	13736907	13737001	+	1597
ENSG00000162494	chr1	13801445	13802567	-	2209
ENSG00000259961	chr1	13839715	13839836	+	477
ENSG00000215909	chr1	13881496	13881784	+	371
ENSG00000162493	chr1	13909960	13910683	+	3707
ENSG00000222952	chr1	13949679	13949779	-	101
ENSG00000266358	chr1	13950397	13950497	-	101
ENSG00000237445	chr1	13983806	13983850	-	379
ENSG00000253085	chr1	14022565	14022694	-	130
ENSG00000116731	chr1	14026693	14026795	+	10923
ENSG00000252151	chr1	14450728	14450830	-	103
ENSG00000231606	chr1	14548386	14548602	-	282
ENSG00000234593	chr1	14675450	14675873	-	579
ENSG00000189337	chr1	14925200	14925719	+	12644
ENSG00000235829	chr1	15018625	15018903	-	326
ENSG00000175147	chr1	15442448	15444303	-	2963
ENSG00000171729	chr1	15479028	15479280	+	2240
ENSG00000204464	chr1	15490840	15490957	-	559
ENSG00000215720	chr1	15518324	15518937	-	710
ENSG00000142621	chr1	15573768	15573891	+	12805
ENSG00000233485	chr1	15653176	15656179	-	3105
ENSG00000236045	chr1	15660662	15661195	-	727
ENSG00000228140	chr1	15729475	15734403	-	5178
ENSG00000142634	chr1	15736391	15736775	+	2531
ENSG00000162438	chr1	15764935	15765000	+	3486
ENSG00000142615	chr1	15783223	15783288	+	1519
ENSG00000215704	chr1	15792404	15792639	+	1457
ENSG00000132906	chr1	15817327	15820496	-	5269
ENSG00000116138	chr1	15853308	15853453	+	8563
ENSG00000251866	chr1	15868660	15868799	+	140
ENSG00000272510	chr1	15892106	15892451	-	346
ENSG00000116771	chr1	15898848	15900219	-	2500
ENSG00000237301	chr1	15912631	15914937	-	2845
ENSG00000235084	chr1	15931077	15931538	+	462
ENSG00000252417	chr1	15934573	15934640	-	68
ENSG00000236500	chr1	15941138	15941362	-	225
ENSG00000197312	chr1	15943995	15944303	+	12136
ENSG00000215695	chr1	15986364	15988217	+	1854
ENSG00000271742	chr1	16009368	16009623	-	256
ENSG00000116786	chr1	16010827	16011113	+	4122
ENSG00000264048	chr1	16010967	16011053	+	87
ENSG00000237938	chr1	16049214	16049562	-	645
ENSG00000162461	chr1	16062900	16063358	+	3195
ENSG00000224459	chr1	16066546	16066717	-	639
ENSG00000162460	chr1	16068917	16069142	+	1520
ENSG00000162458	chr1	16083102	16083227	+	4716
ENSG00000224321	chr1	16119291	16119780	+	490
ENSG00000233954	chr1	16133679	16134194	-	516
ENSG00000178715	chr1	16154724	16155167	+	444
ENSG00000179743	chr1	16160560	16163401	-	2882
ENSG00000065526	chr1	16174359	16174645	+	13294
ENSG00000238818	chr1	16237392	16237492	+	101
ENSG00000270620	chr1	16244193	16244403	-	211
ENSG00000116809	chr1	16268364	16268747	-	4240
ENSG00000234607	chr1	16296127	16296689	+	563
ENSG00000231353	chr1	16314677	16314936	+	260
ENSG00000224966	chr1	16316366	16316486	+	962
ENSG00000183888	chr1	16330731	16330880	+	3039
ENSG00000233078	chr1	16332655	16332841	-	466
ENSG00000173641	chr1	16340523	16342254	-	3910
ENSG00000186510	chr1	16345370	16345469	+	3476
ENSG00000232456	chr1	16361673	16361953	-	704
ENSG00000184908	chr1	16370272	16370375	+	2898
ENSG00000185519	chr1	16384264	16385212	-	1701
ENSG00000142627	chr1	16450832	16451815	-	4159
ENSG00000227959	chr1	16481706	16482250	+	904
ENSG00000224621	chr1	16485761	16485921	+	544
ENSG00000234166	chr1	16524349	16524711	+	439
ENSG00000142632	chr1	16524349	16525239	-	3745
ENSG00000237276	chr1	16542404	16542556	-	1990
ENSG00000204377	chr1	16555368	16555558	-	252
ENSG00000132881	chr1	16558195	16558792	-	1545
ENSG00000233929	chr1	16567708	16567893	-	186
ENSG00000037637	chr1	16573334	16578280	-	8984
ENSG00000055070	chr1	16679070	16679307	+	4747
ENSG00000226457	chr1	16695645	16696025	-	381
ENSG00000187144	chr1	16713612	16713796	-	4506
ENSG00000157191	chr1	16767167	16767348	+	5559
ENSG00000226029	chr1	16787443	16789782	+	3245
ENSG00000080947	chr1	16793931	16796622	-	6813
ENSG00000206652	chr1	16840617	16840780	-	164
ENSG00000261135	chr1	16841140	16842249	+	1110
ENSG00000224174	chr1	16847189	16847282	+	327
ENSG00000233421	chr1	16860381	16860719	-	1563
ENSG00000268674	chr1	16865561	16866070	+	510
ENSG00000225710	chr1	16875146	16875381	-	882
ENSG00000266584	chr1	16875409	16875482	+	74
